gen_data/time,gen_data/delta_f_rad,gen_data/omega_wheel_fl_radps,gen_data/omega_wheel_fr_radps,gen_data/omega_wheel_rl_radps,gen_data/omega_wheel_rr_radps,gen_data/gear,cor_data/time,cor_data/vel_cog_x_mps,cor_data/vel_cog_y_mps,imu_data/time,imu_data/acc_cog_x_mps2,imu_data/acc_cog_y_mps2,imu_data/acc_cog_z_mps2,imu_data/yaw_rate_radps
0.0,0.002728732,63.5275,63.482502,63.4625,63.65,1.0,1714060300.0,21.662863,-0.07034297,1714057700.0,-0.24797978,-1.7039002,9.81,-0.003063891
0.010000126,0.0025682184,63.4925,63.4575,63.445,63.6475,1.0,1714060500.0,18.607296,-0.013665787,1714057700.0,-0.29689416,-1.2802606,9.81,-0.0022677453
0.020000253,0.002327448,63.4725,63.455,63.46,63.6325,1.0,1714060000.0,19.607477,-0.0025297708,1714057900.0,-0.35576686,-1.2668192,9.81,-0.0022969646
0.03000038,0.0020866774,63.41,63.45,63.4725,63.61,1.0,1714060400.0,19.083206,0.03425392,1714057900.0,-0.47767955,-0.8964452,9.81,-0.0005007618
0.040000506,0.001845907,63.375,63.425,63.505,63.635,1.0,1714060900.0,19.540926,0.049403306,1714058400.0,-0.5432331,-0.49699804,9.81,0.00088533893
0.05000063,0.0015248796,63.3675,63.415,63.565002,63.6125,1.0,1714059900.0,19.232939,0.08684777,1714057700.0,-0.52234733,-0.24136968,9.81,0.003489201
0.06000076,0.0012841092,63.3575,63.425,63.535,63.6325,1.0,1714060000.0,19.535696,0.096871585,1714058400.0,-0.48538116,-0.5334998,9.81,0.010165257
0.07000089,0.0009630819,63.3575,63.4175,63.5775,63.655,1.0,1714059900.0,19.338251,0.09440939,1714057600.0,-0.53606576,-0.84713674,9.81,0.013153953
0.08000101,0.00056179776,63.372498,63.4025,63.5875,63.7225,1.0,1714059900.0,19.533207,0.07245918,1714057900.0,-0.62143004,-0.9754974,9.81,0.009416313
0.090001136,0.00016051365,63.39,63.4,63.59,63.725,1.0,1714060300.0,19.341234,0.05904007,1714057700.0,-0.65829414,-0.9792363,9.81,0.0051617324
0.10000126,0.0,63.3825,63.4025,63.595,63.7525,1.0,1714059500.0,19.507935,0.06498944,1714057700.0,-0.6206699,-1.0347025,9.81,0.00052291655
0.11000139,-8.0256825e-05,63.392498,63.4175,63.61,63.7225,1.0,1714059900.0,19.367825,0.11166508,1714058000.0,-0.57030356,-0.94056696,9.81,0.0010889837
0.12000152,-0.00024077046,63.405,63.4025,63.6,63.72,1.0,1714059900.0,19.49616,0.11872838,1714058100.0,-0.5138245,-0.58495873,9.81,0.004737596
0.13000165,-0.00048154095,63.454998,63.3975,63.615,63.7025,1.0,1714059900.0,19.38682,0.11796985,1714058200.0,-0.44424236,-0.2054551,9.81,0.0055901716
0.14000177,-0.0006420546,63.46,63.4075,63.6025,63.677498,1.0,1714060000.0,19.482008,0.14142199,1714057700.0,-0.34617224,-0.21998538,9.81,0.005739197
0.1500019,-0.0006420546,63.4575,63.4125,63.595,63.677498,1.0,1714060300.0,19.394999,0.15199786,1714058500.0,-0.24311067,-0.466455,9.81,0.0044177314
0.16000202,-0.0008025682,63.4875,63.3975,63.58,63.677498,1.0,1714059900.0,19.465605,0.14901139,1714058000.0,-0.22227329,-0.6735107,9.81,0.0057984805
0.17000215,-0.00096308184,63.49,63.385,63.57,63.625,1.0,1714060000.0,19.352959,0.12244135,1714058000.0,-0.31307983,-0.7302589,9.81,0.0073069693
0.18000227,-0.0011235955,63.4875,63.385,63.6025,63.605,1.0,1714059900.0,19.404484,0.09923214,1714057900.0,-0.50135946,-1.1437283,9.81,0.0026552335
0.1900024,-0.0012038524,63.4375,63.3825,63.625,63.6325,1.0,1714060400.0,19.325462,0.105144694,1714058500.0,-0.7044445,-1.7176374,9.81,-0.002708232
0.20000252,-0.0012841092,63.455,63.3775,63.645,63.642498,1.0,1714059900.0,19.366367,0.09031114,1714058000.0,-0.8005204,-1.8128549,9.81,-0.0079112165
0.21000266,-0.0015248796,63.455,63.37,63.677498,63.68,1.0,1714060000.0,19.23447,0.110784136,1714057900.0,-0.7839811,-1.4049263,9.81,-0.008908478
0.22000279,-0.0016853933,63.420002,63.3675,63.6975,63.712498,1.0,1714060000.0,19.33927,0.11479849,1714057900.0,-0.6770953,-0.9924465,9.81,-0.0059484863
0.23000291,-0.0016853933,63.38,63.38,63.72,63.78,1.0,1714059900.0,19.27743,0.11499984,1714058100.0,-0.6160996,-0.91617775,9.81,-0.0040163156
0.24000303,-0.0016051364,63.3875,63.3725,63.73,63.7575,1.0,1714060000.0,19.33817,0.104480855,1714058100.0,-0.53925425,-1.0525457,9.81,-0.004724385
0.25000316,-0.0016051364,63.3725,63.3675,63.6975,63.7675,1.0,1714059500.0,19.301252,0.07966176,1714058200.0,-0.36776742,-1.189206,9.81,-0.0048341625
0.2600033,-0.0014446228,63.33,63.3675,63.715,63.78,1.0,1714059900.0,19.376177,0.048420984,1714057600.0,-0.23241256,-1.3233211,9.81,-0.0037437836
0.2700034,-0.0012841092,63.325,63.3825,63.675,63.77,1.0,1714059400.0,19.353947,0.041555017,1714057500.0,-0.18852586,-1.5756602,9.81,-0.005537515
0.28000355,-0.0010433387,63.3475,63.385,63.63,63.735,1.0,1714060000.0,19.432571,0.03567947,1714058100.0,-0.2386218,-1.7973815,9.81,-0.010004889
0.29000366,-0.00088282506,63.3925,63.3875,63.6275,63.7425,1.0,1714059500.0,19.402912,0.06382393,1714058100.0,-0.34413585,-1.8103931,9.81,-0.01509949
0.3000038,-0.0008025682,63.39,63.4,63.6475,63.66,1.0,1714060000.0,19.468445,0.09594399,1714058100.0,-0.34218425,-1.7929773,9.81,-0.01738684
0.3100039,-0.00056179776,63.405,63.4125,63.6325,63.6475,1.0,1714059400.0,19.442429,0.090085834,1714057600.0,-0.26822576,-1.6558585,9.81,-0.014584952
0.32000405,-0.0003210273,63.465,63.41,63.61,63.5875,1.0,1714059900.0,19.511759,0.096617565,1714057700.0,-0.23573227,-1.2029475,9.81,-0.009473981
0.3300042,-0.00024077046,63.485,63.3875,63.5725,63.575,1.0,1714060000.0,19.443846,0.13532574,1714057700.0,-0.26948172,-0.6295663,9.81,-0.005501754
0.3400043,-0.0003210273,63.485,63.3825,63.605,63.5775,1.0,1714059800.0,19.475082,0.11998666,1714058100.0,-0.2909747,-0.3358035,9.81,-0.0037065307
0.35000443,-0.0004012841,63.5,63.39,63.595,63.575,1.0,1714059400.0,19.371126,0.11349117,1714057700.0,-0.3180259,-0.600618,9.81,-0.0013339268
